Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable
Hyundai,Accent,2015,Saudi,White,Standard,1.4,Gas,Automatic,196,Arar,0,True
GMC,Sierra,2013,Gulf Arabic,Silver,Standard,5.3,Gas,Automatic,248000,Dammam,63000,False
Audi,A6,2015,Gulf Arabic,Another Color,Full,2.3,Gas,Automatic,120000,Al-Medina,0,True
Ford,Taurus,2013,Other,Black,Full,3.5,Gas,Automatic,308,Taef,0,True
Hyundai,Centennial,2016,Saudi,White,Full,3.8,Gas,Automatic,112000,Aseer,0,True
Ford,Taurus,2014,Saudi,Silver,Standard,2.6,Gas,Automatic,175,Riyadh,0,True
Lexus,LX,2014,Saudi,White,Full,5.0,Gas,Automatic,100000,Taef,320000,False
Chevrolet,Tahoe,2014,Saudi,Black,Semi Full,2.0,Gas,Automatic,255000,Riyadh,53000,False
Hyundai,Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,65000,Riyadh,0,True
Chevrolet,Silverado,2012,Saudi,Red,Semi Full,5.3,Gas,Automatic,180000,Riyadh,50000,False
Mercedes,E,2016,Saudi,Black,Full,3.0,Gas,Automatic,64000,Riyadh,120000,False
Isuzu,Dyna,2013,Saudi,White,Standard,7.0,Diesel,Manual,300,Dammam,82000,False
Toyota,Camry,2009,Saudi,White,Full,2.4,Gas,Automatic,385830,Riyadh,0,True
BMW,Z,2010,Gulf Arabic,Black,Full,4.0,Gas,Automatic,140000,Dammam,0,True
Toyota,Ciocca,2015,Saudi,White,Semi Full,5.7,Gas,Automatic,255,Dammam,0,True
Ford,Expedition,2004,Other,Oily,Semi Full,5.4,Gas,Automatic,291000,Riyadh,0,True
Chevrolet,Tahoe,2008,Other,Black,Full,5.3,Gas,Automatic,232896,Riyadh,0,True
Honda,Accord,2016,Saudi,White,Full,2.8,Gas,Automatic,240000,Hafar Al-Batin,0,True
Audi,Q7,2007,Saudi,White,Full,7.0,Gas,Automatic,180000,Riyadh,50000,False
Lexus,ES,2008,Saudi,White,Full,3.5,Gas,Automatic,260000,Jeddah,0,True
Mercedes,CLS,2014,Saudi,Brown,Full,3.5,Gas,Automatic,130,Jeddah,100000,False
GMC,Yukon,2021,Saudi,Another Color,Standard,5.3,Gas,Automatic,6000,Riyadh,0,True
Mercedes,S,2008,Saudi,Golden,Full,3.0,Gas,Automatic,174000,Riyadh,65000,False
Nissan,Navara,2009,Saudi,White,Standard,2.5,Gas,Manual,290,Taef,0,True
GMC,Sierra,1981,Saudi,White,Semi Full,5.3,Gas,Manual,350,Jeddah,0,True
Ford,Expedition,2012,Saudi,Red,Full,5.4,Gas,Automatic,176,Riyadh,0,True
BMW,The M,2007,Saudi,Black,Full,2.0,Gas,Automatic,145000,Al-Ahsa,0,True
Changan,Seven,2022,Saudi,Silver,Standard,1.1,Gas,Automatic,2500,Jeddah,0,True
Chevrolet,Malibu,2010,Saudi,Grey,Semi Full,2.5,Gas,Automatic,135000,Al-Medina,10000,False
Hyundai,Sonata,2017,Saudi,White,Full,2.4,Gas,Automatic,88718,Riyadh,58000,False
